No,Condition,Modification,Non labelled feature m/z,Modified m/z,Feature m/z,Original SIRIUS ID,SIRIUS_molecularFormula,SIRIUS_adduct,SIRIUS_precursorFormula,SIRIUS_NPC_pathway,SIRIUS_NPC_pathway_Probability,SIRIUS_NPC_superclass,SIRIUS_NPC_superclass_Probability,SIRIUS_NPC_class,SIRIUS_NPC_class_Probability,SIRIUS_ClassyFire_superclass,SIRIUS_ClassyFire_superclass_probability,SIRIUS_ClassyFire_class,SIRIUS_ClassyFire_class_Probability,SIRIUS_ClassyFire_subclass,SIRIUS_ClassyFire_subclass_Probability,SIRIUS_ClassyFire_level_5,SIRIUS_ClassyFire_level_5_Probability,SIRIUS_ClassyFire_most_specific_class,SIRIUS_ClassyFire_most_specific_class_Probability,SIRIUS_ClassyFire_all_classifications,SIRIUS_ionMass,SIRIUS_M+3D,SIRIUS_M+4D,SIRIUS_M+5D,mzmine_ID,area,rt,mz,height,S4_EtNH2_1uL_mzML_area,S4_EtNH2_1uL_mzML_rt,S4_EtNH2_1uL_mzML_mz,S4_EtNH2_1uL_mzML_height,S13_EthylNH2_1uL_mzML_area,S13_EthylNH2_1uL_mzML_rt,S13_EthylNH2_1uL_mzML_mz,S13_EthylNH2_1uL_mzML_height,S10_Ctrl_1uL_mzML_area,S10_Ctrl_1uL_mzML_rt,S10_Ctrl_1uL_mzML_mz,S10_Ctrl_1uL_mzML_height,S14_EthylNH2_1uL_mzML_area,S14_EthylNH2_1uL_mzML_rt,S14_EthylNH2_1uL_mzML_mz,S14_EthylNH2_1uL_mzML_height,S5_EtNH2_1uL_mzML_area,S5_EtNH2_1uL_mzML_rt,S5_EtNH2_1uL_mzML_mz,S5_EtNH2_1uL_mzML_height,S11_CTRL_1uL_mzML_area,S11_CTRL_1uL_mzML_rt,S11_CTRL_1uL_mzML_mz,S11_CTRL_1uL_mzML_height,S12_CTRL_1uL_mzML_area,S12_CTRL_1uL_mzML_rt,S12_CTRL_1uL_mzML_mz,S12_CTRL_1uL_mzML_height,S15_EthylNH2_1uL_mzML_area,S15_EthylNH2_1uL_mzML_rt,S15_EthylNH2_1uL_mzML_mz,S15_EthylNH2_1uL_mzML_height,S6_EtNH2_1uL_mzML_area,S6_EtNH2_1uL_mzML_rt,S6_EtNH2_1uL_mzML_mz,S6_EtNH2_1uL_mzML_height
1,ethanolamine,SIRIUS_M+3D,360.253,363.27181,363.27177,275,C22H33NO3,[M + H]+,C22H34NO3+,Alkaloids,0.896,Pseudoalkaloids (transamidation),0.978,Terpenoid alkaloids,0.96,Lipids and lipid-like molecules,0.964,Prenol lipids,0.945,Diterpenoids,0.961,Kaurane diterpenoids,0.877,Kaurane diterpenoids,0.877,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Kaurane diterpenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,360.253,363.27181,364.27808,365.28435,304,30100,3.4569,363.27177,609000,30100,3.4419,363.2717,609000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12900,3.4718,363.27184,288000
1,ethanolamine,SIRIUS_M+4D,360.253,364.27808,364.27776,275,C22H33NO3,[M + H]+,C22H34NO3+,Alkaloids,0.896,Pseudoalkaloids (transamidation),0.978,Terpenoid alkaloids,0.96,Lipids and lipid-like molecules,0.964,Prenol lipids,0.945,Diterpenoids,0.961,Kaurane diterpenoids,0.877,Kaurane diterpenoids,0.877,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Kaurane diterpenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,360.253,363.27181,364.27808,365.28435,327,72200,3.4927,364.27776,2180000,72200,3.4927,364.27776,2180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ethanolamine,SIRIUS_M+3D,424.26923,427.28804,427.28774,299,C23H37NO6,[M + H]+,C23H38NO6+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.931,Prenol lipids,0.968,Diterpenoids,0.988,Aconitane-type diterpenoid alkaloids,0.902,Aconitane-type diterpenoid alkaloids,0.902,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",424.269,427.28804,428.29431,429.30058,428,1070000,3.5989,427.28774,19800000,1070000,3.5989,427.28774,19800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ethanolamine,SIRIUS_M+3D,466.27981,469.29862,469.29837,328,C25H39NO7,[M + H]+,C25H40NO7+,Alkaloids,0.999,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.907,Prenol lipids,0.98,Diterpenoids,0.99,Aconitane-type diterpenoid alkaloids,0.929,Aconitane-type diterpenoid alkaloids,0.929,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Benzene and substituted derivatives; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Acylaminobenzoic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",466.28,469.29862,470.30489,471.31116,361,17200,3.5442,469.29837,419000,3520,3.535,469.29824,137000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200,3.5533,469.29851,419000
4,ethanolamine,SIRIUS_M+3D,466.2798,469.29861,469.29833,417,C25H39NO7,[M + H]+,C25H40NO7+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.911,Prenol lipids,0.972,Diterpenoids,0.987,Aconitane-type diterpenoid alkaloids,0.988,Aconitane-type diterpenoid alkaloids,0.988,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,466.28,469.29861,470.30488,471.31115,498,2380000,3.694,469.29833,64500000,2380000,3.6851,469.29812,64500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32600,3.7029,469.29854,425000
5,ethanolamine,SIRIUS_M+3D,438.28481,441.30362,441.30361,418,C24H39NO6,[M + H]+,C24H40NO6+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.895,Prenol lipids,0.963,Diterpenoids,0.982,Aconitane-type diterpenoid alkaloids,0.98,Aconitane-type diterpenoid alkaloids,0.98,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,438.285,441.30362,442.30989,443.31616,507,31800,3.6994,441.30361,876000,31800,3.696,441.30354,876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7250,3.7029,441.30368,230000
6,ethanolamine,SIRIUS_M+3D,450.28485,453.30366,453.3035,428,C25H39NO6,[M + H]+,C25H40NO6+,Alkaloids,0.999,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.942,Prenol lipids,0.974,Diterpenoids,0.991,Aconitane-type diterpenoid alkaloids,0.978,Aconitane-type diterpenoid alkaloids,0.978,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,450.285,453.30366,454.30993,455.3162,570,8370,3.7405,453.3035,111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8370,3.7405,453.3035,111000
7,ethanolamine,SIRIUS_M+3D,466.27981,469.29862,469.29831,586,C25H39NO7,[M + H]+,C25H40NO7+,Alkaloids,0.978,Pseudoalkaloids (transamidation),0.995,Terpenoid alkaloids,0.988,Lipids and lipid-like molecules,0.831,Prenol lipids,0.837,Diterpenoids,0.843,,,Diterpenoids,0.843,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,466.28,469.29862,470.30489,471.31116,723,1620000,3.945,469.29831,31700000,1620000,3.9537,469.29815,31700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35900,3.9363,469.29846,743000
8,ethanolamine,SIRIUS_M+4D,360.25302,364.2781,364.27793,648,C22H33NO3,[M + H]+,C22H34NO3+,Alkaloids,0.979,Pseudoalkaloids (transamidation),0.994,Terpenoid alkaloids,0.971,Lipids and lipid-like molecules,0.978,Prenol lipids,0.927,Diterpenoids,0.959,Kaurane diterpenoids,0.837,Kaurane diterpenoids,0.837,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Kaurane diterpenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,360.253,363.27183,364.2781,365.28437,804,105000,4.0411,364.27793,2020000,105000,4.0376,364.27783,2020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,4.0446,364.27803,29000
9,ethanolamine,SIRIUS_M+3D,482.27467,485.29348,485.29332,691,C25H39NO8,[M + H]+,C25H40NO8+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.932,Prenol lipids,0.98,Diterpenoids,0.994,Aconitane-type diterpenoid alkaloids,0.91,Aconitane-type diterpenoid alkaloids,0.91,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Acylaminobenzoic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",482.275,485.29348,486.29975,487.30602,868,52300,4.1346,485.29332,1210000,52300,4.1335,485.29336,1210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,4.1357,485.29329,28600
10,ethanolamine,SIRIUS_M+3D,466.27984,469.29865,469.29806,722,C25H39NO7,[M + H]+,C25H40NO7+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.904,Prenol lipids,0.969,Diterpenoids,0.985,Aconitane-type diterpenoid alkaloids,0.996,Aconitane-type diterpenoid alkaloids,0.996,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,466.28,469.29865,470.30492,471.31119,924,3460000,4.2076,469.29806,70600000,3460000,4.2076,469.29806,70600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ethanolamine,SIRIUS_M+3D,466.27976,469.29857,469.29831,869,C25H39NO7,[M + H]+,C25H40NO7+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.905,Prenol lipids,0.968,Diterpenoids,0.984,Aconitane-type diterpenoid alkaloids,0.994,Aconitane-type diterpenoid alkaloids,0.994,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,466.28,469.29857,470.30484,471.31111,1086,1880000,4.3593,469.29831,39100000,1880000,4.3542,469.29821,39100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103000,4.3645,469.2984,2430000
12,ethanolamine,SIRIUS_M+3D,438.28482,441.30363,441.30353,876,C24H39NO6,[M + H]+,C24H40NO6+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,0.999,Lipids and lipid-like molecules,0.87,Prenol lipids,0.938,Diterpenoids,0.968,Aconitane-type diterpenoid alkaloids,0.983,Aconitane-type diterpenoid alkaloids,0.983,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,438.285,441.30363,442.3099,443.31617,1102,1960000,4.3699,441.30353,39400000,1960000,4.3645,441.30344,39400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47400,4.3753,441.30362,1100000
13,ethanolamine,SIRIUS_M+3D,420.27416,423.29297,423.29288,898,C24H37NO5,[M + H]+,C24H38NO5+,Alkaloids,0.999,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.929,Prenol lipids,0.969,Diterpenoids,0.988,Aconitane-type diterpenoid alkaloids,0.982,Aconitane-type diterpenoid alkaloids,0.982,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,420.274,423.29297,424.29924,425.30551,1138,142000,4.4271,423.29288,3570000,142000,4.4254,423.2929,3570000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3860,4.4288,423.29286,145000
14,ethanolamine,SIRIUS_M+3D,450.28483,453.30364,453.30334,933,C25H39NO6,[M + H]+,C25H40NO6+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.908,Prenol lipids,0.961,Diterpenoids,0.98,Aconitane-type diterpenoid alkaloids,0.989,Aconitane-type diterpenoid alkaloids,0.989,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,450.285,453.30364,454.30991,455.31618,1184,4930000,4.4481,453.30334,110000000,4930000,4.4461,453.30316,110000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70700,4.4502,453.30352,1720000
