No,Condition,Modification,Non labelled feature m/z,Modified m/z,Feature m/z,Original SIRIUS ID,SIRIUS_molecularFormula,SIRIUS_adduct,SIRIUS_precursorFormula,SIRIUS_NPC_pathway,SIRIUS_NPC_pathway_Probability,SIRIUS_NPC_superclass,SIRIUS_NPC_superclass_Probability,SIRIUS_NPC_class,SIRIUS_NPC_class_Probability,SIRIUS_ClassyFire_superclass,SIRIUS_ClassyFire_superclass_probability,SIRIUS_ClassyFire_class,SIRIUS_ClassyFire_class_Probability,SIRIUS_ClassyFire_subclass,SIRIUS_ClassyFire_subclass_Probability,SIRIUS_ClassyFire_level_5,SIRIUS_ClassyFire_level_5_Probability,SIRIUS_ClassyFire_most_specific_class,SIRIUS_ClassyFire_most_specific_class_Probability,SIRIUS_ClassyFire_all_classifications,SIRIUS_ionMass,SIRIUS_M+3D,SIRIUS_M+4D,SIRIUS_M+5D,mzmine_ID,area,rt,mz,height,S4_EtNH2_1uL_mzML_area,S4_EtNH2_1uL_mzML_rt,S4_EtNH2_1uL_mzML_mz,S4_EtNH2_1uL_mzML_height,S13_EthylNH2_1uL_mzML_area,S13_EthylNH2_1uL_mzML_rt,S13_EthylNH2_1uL_mzML_mz,S13_EthylNH2_1uL_mzML_height,S10_Ctrl_1uL_mzML_area,S10_Ctrl_1uL_mzML_rt,S10_Ctrl_1uL_mzML_mz,S10_Ctrl_1uL_mzML_height,S14_EthylNH2_1uL_mzML_area,S14_EthylNH2_1uL_mzML_rt,S14_EthylNH2_1uL_mzML_mz,S14_EthylNH2_1uL_mzML_height,S5_EtNH2_1uL_mzML_area,S5_EtNH2_1uL_mzML_rt,S5_EtNH2_1uL_mzML_mz,S5_EtNH2_1uL_mzML_height,S11_CTRL_1uL_mzML_area,S11_CTRL_1uL_mzML_rt,S11_CTRL_1uL_mzML_mz,S11_CTRL_1uL_mzML_height,S12_CTRL_1uL_mzML_area,S12_CTRL_1uL_mzML_rt,S12_CTRL_1uL_mzML_mz,S12_CTRL_1uL_mzML_height,S15_EthylNH2_1uL_mzML_area,S15_EthylNH2_1uL_mzML_rt,S15_EthylNH2_1uL_mzML_mz,S15_EthylNH2_1uL_mzML_height,S6_EtNH2_1uL_mzML_area,S6_EtNH2_1uL_mzML_rt,S6_EtNH2_1uL_mzML_mz,S6_EtNH2_1uL_mzML_height
15,ethanolamine,SIRIUS_M+3D,496.29024,499.30905,499.30897,1010,C26H41NO8,[M + H]+,C26H42NO8+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.917,Prenol lipids,0.977,Diterpenoids,0.99,Aconitane-type diterpenoid alkaloids,0.997,Aconitane-type diterpenoid alkaloids,0.997,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,496.29,499.30905,500.31532,501.32159,1281,39600,4.5205,499.30897,943000,39600,4.5205,499.30897,943000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ethanolamine,SIRIUS_M+3D,420.27409,423.2929,423.29313,1013,C24H37NO5,[M + H]+,C24H38NO5+,Alkaloids,0.998,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,0.999,Lipids and lipid-like molecules,0.958,Prenol lipids,0.979,Diterpenoids,0.993,Aconitane-type diterpenoid alkaloids,0.97,Aconitane-type diterpenoid alkaloids,0.97,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,420.274,423.2929,424.29917,425.30544,1277,44100,4.5226,423.29313,975000,44100,4.5205,423.29301,975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,4.5247,423.29324,33600
17,ethanolamine,SIRIUS_M+4D,360.25302,364.2781,364.27811,1184,C22H33NO3,[M + H]+,C22H34NO3+,Alkaloids,0.983,Pseudoalkaloids (transamidation),0.991,Terpenoid alkaloids,0.983,Lipids and lipid-like molecules,0.935,Prenol lipids,0.885,Diterpenoids,0.928,Kaurane diterpenoids,0.752,Kaurane diterpenoids,0.752,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Kaurane diterpenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,360.253,363.27183,364.2781,365.28437,1528,70900,4.7558,364.27811,757000,,,,,,,,,,,,,,,,,70900,4.7558,364.27811,757000,,,,,,,,,,,,,,,,
18,ethanolamine,SIRIUS_M+3D,496.29017,499.30898,499.309,1188,C26H41NO8,[M + H]+,C26H42NO8+,Alkaloids,0.995,Pseudoalkaloids (transamidation),0.998,Terpenoid alkaloids,0.964,Lipids and lipid-like molecules,0.823,Prenol lipids,0.803,Diterpenoids,0.799,,,Diterpenoids,0.799,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Lactams; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Secondary alcohols; Tertiary alcohols; Isoindoles and derivatives; Isoindolones; Carbonyl compounds; Polyols; Benzenoids; Tertiary amines; Isoindolines; Quinolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",496.29,499.30898,500.31525,501.32152,1521,13500,4.7471,499.309,110000,3780,4.7339,499.30905,77200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500,4.7603,499.30894,110000
19,ethanolamine,SIRIUS_M+3D,402.26366,405.28247,405.28232,1226,C24H35NO4,[M + H]+,C24H36NO4+,Alkaloids,0.99,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,0.985,Lipids and lipid-like molecules,0.967,Prenol lipids,0.837,Diterpenoids,0.922,"Villanovane, atisane, trachylobane or helvifulvane diterpenoids",0.503,Atisane diterpenoids,0.52,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Piperidines; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Atisane diterpenoids; Villanovane, atisane, trachylobane or helvifulvane diterpenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",402.264,405.28247,406.28874,407.29501,1575,91200,4.8484,405.28232,2820000,91200,4.8381,405.28231,2820000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,4.8587,405.28233,86800
20,ethanolamine,SIRIUS_M+3D,360.25301,363.27182,363.27182,1227,C22H33NO3,[M + H]+,C22H34NO3+,Alkaloids,0.9,Pseudoalkaloids (transamidation),0.978,Terpenoid alkaloids,0.887,Lipids and lipid-like molecules,0.948,Prenol lipids,0.82,Diterpenoids,0.88,Kaurane diterpenoids,0.838,Kaurane diterpenoids,0.838,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Kaurane diterpenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,360.253,363.27182,364.27809,365.28436,1564,30800,4.8258,363.27182,241000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30800,4.8258,363.27182,241000
20,ethanolamine,SIRIUS_M+4D,360.25301,364.27809,364.27802,1227,C22H33NO3,[M + H]+,C22H34NO3+,Alkaloids,0.9,Pseudoalkaloids (transamidation),0.978,Terpenoid alkaloids,0.887,Lipids and lipid-like molecules,0.948,Prenol lipids,0.82,Diterpenoids,0.88,Kaurane diterpenoids,0.838,Kaurane diterpenoids,0.838,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Kaurane diterpenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,360.253,363.27182,364.27809,365.28436,1565,320000,4.8258,364.27802,2610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000,4.8258,364.27802,2610000
21,ethanolamine,SIRIUS_M+3D,480.29534,483.31415,483.31403,1231,C26H41NO7,[M + H]+,C26H42NO7+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.888,Prenol lipids,0.966,Diterpenoids,0.981,Aconitane-type diterpenoid alkaloids,0.989,Aconitane-type diterpenoid alkaloids,0.989,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,480.295,483.31415,484.32042,485.32669,1583,361000,4.8587,483.31403,2800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361000,4.8587,483.31403,2800000
22,ethanolamine,SIRIUS_M+3D,402.26362,405.28243,405.28226,1268,C24H35NO4,[M + H]+,C24H36NO4+,Alkaloids,0.954,Pseudoalkaloids (transamidation),0.993,Terpenoid alkaloids,0.947,Lipids and lipid-like molecules,0.949,Prenol lipids,0.826,Diterpenoids,0.845,"Villanovane, atisane, trachylobane or helvifulvane diterpenoids",0.607,Atisane diterpenoids,0.619,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Atisane diterpenoids; Villanovane, atisane, trachylobane or helvifulvane diterpenoids; Kaurane diterpenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",402.264,405.28243,406.2887,407.29497,1632,126000,4.9147,405.28226,7670000,126000,4.9079,405.28224,7670000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37200,4.9215,405.28227,647000
23,ethanolamine,SIRIUS_M+4D,360.25304,364.27812,364.278,1306,C22H33NO3,[M + H]+,C22H34NO3+,Alkaloids,0.877,Pseudoalkaloids (transamidation),0.978,Terpenoid alkaloids,0.876,Lipids and lipid-like molecules,0.976,Prenol lipids,0.828,Diterpenoids,0.907,Kaurane diterpenoids,0.877,Kaurane diterpenoids,0.877,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Trialkylamines; Amines; Tertiary amines; Kaurane diterpenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,360.253,363.27185,364.27812,365.28439,1674,1040000,5.0014,364.278,25400000,1030000,5.0006,364.27797,24100000,,,,,,,,,,,,,268000,4.9989,364.27801,6480000,,,,,,,,,,,,,1040000,5.0047,364.27802,25400000
23,ethanolamine,SIRIUS_M+3D,360.25304,363.27185,363.27181,1306,C22H33NO3,[M + H]+,C22H34NO3+,Alkaloids,0.877,Pseudoalkaloids (transamidation),0.978,Terpenoid alkaloids,0.876,Lipids and lipid-like molecules,0.976,Prenol lipids,0.828,Diterpenoids,0.907,Kaurane diterpenoids,0.877,Kaurane diterpenoids,0.877,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Trialkylamines; Amines; Tertiary amines; Kaurane diterpenoids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,360.253,363.27185,364.27812,365.28439,1676,116000,5.0014,363.27181,2920000,69000,5.0006,363.27173,1850000,,,,,,,,,,,,,16700,4.9989,363.27178,485000,,,,,,,,,,,,,116000,5.0047,363.27192,2920000
24,ethanolamine,SIRIUS_M+3D,480.29533,483.31414,483.31365,1308,C26H41NO7,[M + H]+,C26H42NO7+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.898,Prenol lipids,0.965,Diterpenoids,0.982,Aconitane-type diterpenoid alkaloids,0.994,Aconitane-type diterpenoid alkaloids,0.994,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,480.295,483.31414,484.32041,485.32668,1696,5240000,5.032,483.31365,114000000,5240000,5.032,483.31365,114000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ethanolamine,SIRIUS_M+3D,480.29537,483.31418,483.31367,1342,C26H41NO7,[M + H]+,C26H42NO7+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.999,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.895,Prenol lipids,0.967,Diterpenoids,0.982,Aconitane-type diterpenoid alkaloids,0.994,Aconitane-type diterpenoid alkaloids,0.994,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,480.295,483.31418,484.32045,485.32672,1732,7240000,5.1006,483.31367,142000000,7240000,5.1041,483.31359,142000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290000,5.0972,483.31374,30000000
26,ethanolamine,SIRIUS_M+3D,464.30035,467.31916,467.3192,1527,C26H41NO6,[M + H]+,C26H42NO6+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.927,Prenol lipids,0.981,Diterpenoids,0.991,Aconitane-type diterpenoid alkaloids,0.994,Aconitane-type diterpenoid alkaloids,0.994,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,464.3,467.31916,468.32543,469.3317,1963,64600,5.4834,467.3192,1710000,64600,5.4834,467.3192,1710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ethanolamine,SIRIUS_M+3D,462.28475,465.30356,465.30371,1648,C26H39NO6,[M + H]+,C26H40NO6+,Alkaloids,0.999,Pseudoalkaloids (transamidation),0.998,Terpenoid alkaloids,0.999,Lipids and lipid-like molecules,0.88,Prenol lipids,0.939,Diterpenoids,0.974,Aconitane-type diterpenoid alkaloids,0.808,Aconitane-type diterpenoid alkaloids,0.808,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Benzoic acids and derivatives; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Benzoic acid esters; Diterpenoids; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",462.285,465.30356,466.30983,467.3161,2115,41000,5.8028,465.30371,674000,41000,5.8074,465.30358,674000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,5.7983,465.30384,16500
28,ethanolamine,SIRIUS_M+3D,494.31095,497.32976,497.3297,1718,C27H43NO7,[M + H]+,C27H44NO7+,Alkaloids,1,Pseudoalkaloids (transamidation),1,Terpenoid alkaloids,1,Lipids and lipid-like molecules,0.924,Prenol lipids,0.983,Diterpenoids,0.991,Aconitane-type diterpenoid alkaloids,0.979,Aconitane-type diterpenoid alkaloids,0.979,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Piperidines; Ethers; Prenol lipids; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Cyclic alcohols and derivatives; Diterpenoids; Tertiary alcohols; Trialkylamines; Polyols; Amines; Tertiary amines; Quinolidines; Aconitane-type diterpenoid alkaloids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",494.311,497.32976,498.33603,499.3423,2190,135000,5.9253,497.3297,1710000,135000,5.9253,497.3297,1710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ethanolamine,SIRIUS_M+3D,444.27431,447.29312,447.29299,1977,C26H37NO5,[M + H]+,C26H38NO5+,Alkaloids,0.982,Pseudoalkaloids (transamidation),0.998,Terpenoid alkaloids,0.926,Lipids and lipid-like molecules,0.93,Prenol lipids,0.704,Diterpenoids,0.757,"Villanovane, atisane, trachylobane or helvifulvane diterpenoids",0.776,Atisane diterpenoids,0.788,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Piperidines; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Azepanes; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Diterpenoids; Secondary alcohols; Tertiary alcohols; Isoindoles and derivatives; Carbonyl compounds; Amines; Tertiary amines; Isoindolines; Atisane diterpenoids; Villanovane, atisane, trachylobane or helvifulvane diterpenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",444.274,447.29312,448.29939,449.30566,2524,41300,6.6347,447.29299,917000,15000,6.6374,447.29292,441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41300,6.6319,447.29306,917000
